
2024/12/15 (18:17:27) | ===> btop++ v.1.4.0
2024/12/15 (18:17:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (18:17:33) | ===> btop++ v.1.4.0
2024/12/15 (18:17:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (18:17:35) | ===> btop++ v.1.4.0
2024/12/15 (18:17:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (21:00:57) | ===> btop++ v.1.4.0
2024/12/15 (21:00:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (22:28:00) | ===> btop++ v.1.4.0
2024/12/15 (22:28:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (10:29:52) | ===> btop++ v.1.4.0
2024/12/16 (10:29:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (19:35:28) | ===> btop++ v.1.4.0
2024/12/16 (19:35:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (22:56:59) | ===> btop++ v.1.4.0
2024/12/16 (22:56:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (14:26:32) | ===> btop++ v.1.4.0
2024/12/17 (14:26:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (18:59:24) | ===> btop++ v.1.4.0
2024/12/17 (18:59:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (22:47:15) | ===> btop++ v.1.4.0
2024/12/17 (22:47:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (16:42:54) | ===> btop++ v.1.4.0
2024/12/18 (16:42:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (15:24:20) | ===> btop++ v.1.4.0
2024/12/20 (15:24:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (15:24:28) | ===> btop++ v.1.4.0
2024/12/20 (15:24:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (15:24:42) | ===> btop++ v.1.4.0
2024/12/20 (15:24:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (04:11:10) | ===> btop++ v.1.4.0
2024/12/21 (04:11:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (04:31:18) | ===> btop++ v.1.4.0
2024/12/21 (04:31:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (04:46:24) | ===> btop++ v.1.4.0
2024/12/21 (04:46:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (00:58:06) | ===> btop++ v.1.4.0
2024/12/22 (00:58:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (02:37:12) | ===> btop++ v.1.4.0
2024/12/22 (02:37:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (14:04:38) | ===> btop++ v.1.4.0
2025/01/02 (14:04:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (01:15:10) | ===> btop++ v.1.4.0
2025/01/03 (01:15:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (17:47:15) | ===> btop++ v.1.4.0
2025/01/08 (17:47:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (17:35:05) | ===> btop++ v.1.4.0
2025/01/16 (17:35:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (17:39:40) | ===> btop++ v.1.4.0
2025/01/16 (17:39:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (17:40:37) | ===> btop++ v.1.4.0
2025/01/16 (17:40:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (23:16:45) | ===> btop++ v.1.4.0
